route,year,capacity_available,capacity_used,capacity_slack,capacity_pressure,capacity_binding,deployment_available,deployment_used,deployment_slack,deployment_pressure,deployment_binding,scrap_available,scrap_used,scrap_slack,scrap_pressure,scrap_binding,resource_pressure,emission_pressure,learning_effect
BF-BOF,2024,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2025,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2026,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2027,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2028,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2029,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2030,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2031,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2032,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2033,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2034,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2035,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2036,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2037,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2038,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2039,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2040,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2041,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2042,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2043,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2044,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2045,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2046,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2047,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2048,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2049,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2050,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2051,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2052,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2053,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2054,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2055,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2056,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2057,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2058,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2059,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2060,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2061,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2062,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2063,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2064,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2065,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2066,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2067,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2068,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2069,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
BF-BOF,2070,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2024,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2025,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2026,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2027,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2028,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2029,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2030,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2031,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2032,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2033,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2034,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2035,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2036,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2037,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2038,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2039,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2040,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2041,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2042,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2043,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2044,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2045,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2046,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2047,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2048,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2049,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2050,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2051,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2052,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2053,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2054,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2055,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2056,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2057,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2058,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2059,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2060,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2061,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
NG-DRI-EAF,2062,-0.0,0.0,-0.0,,False,,0.0,,,False,,-0.0,,,False,,,
