metric,year,scenario,model_value,vol4_value,difference_pct,comparison_status,associated_drivers,limiting_data,active_constraints,interpretation
technology_share,2070,CPS,0.0,0.5,-100.0,MATERIAL_DIFFERENCE,,,SCRAP,Material difference in technology_share.
technology_share,2070,CPS,0.0,0.07,-100.0,MATERIAL_DIFFERENCE,,,SCRAP,Material difference in technology_share.
technology_share,2070,CPS,0.0,0.25,0.0,NOT_COMPARABLE,TECHNOLOGY_ECONOMICS,H2_DRI_FULL_PLANT_ECONOMICS_EXTERNAL_PENDING,,technology_share not comparable to Vol.4 due to definition/boundary mismatch. Associated drivers: TECHNOLOGY_ECONOMICS. Limiting data: H2_DRI_FULL_PLANT_ECONOMICS_EXTERNAL_PENDING.
technology_share,2070,CPS,1.0,0.18,455.5556,MATERIAL_DIFFERENCE,,,SCRAP,Material difference in technology_share.
technology_share,2070,NZS,0.0,0.1,0.0,NOT_COMPARABLE,,,,technology_share not comparable to Vol.4 due to definition/boundary mismatch.
technology_share,2070,NZS,0.0,0.0,0.0,UNRESOLVED,,,,technology_share unresolved — Vol.4 does not publish a numeric value.
technology_share,2070,NZS,0.0,0.5,0.0,NOT_COMPARABLE,TECHNOLOGY_ECONOMICS,H2_DRI_FULL_PLANT_ECONOMICS_EXTERNAL_PENDING,,technology_share not comparable to Vol.4 due to definition/boundary mismatch. Associated drivers: TECHNOLOGY_ECONOMICS. Limiting data: H2_DRI_FULL_PLANT_ECONOMICS_EXTERNAL_PENDING.
technology_share,2070,NZS,1.0,0.4,150.0,MATERIAL_DIFFERENCE,,,SCRAP,Material difference in technology_share.
scrap_share_production,2050,CPS,1.0,0.2,400.0,MATERIAL_DIFFERENCE,,,SCRAP,Material difference in scrap_share_production.
scrap_share_production,2070,CPS,1.0,0.2,400.0,MATERIAL_DIFFERENCE,,,SCRAP,Material difference in scrap_share_production.
scrap_share_production,2050,NZS,1.0,0.3,233.3333,MATERIAL_DIFFERENCE,,,SCRAP,Material difference in scrap_share_production.
scrap_share_production,2070,NZS,1.0,0.4,150.0,MATERIAL_DIFFERENCE,,,SCRAP,Material difference in scrap_share_production.
co2_intensity,2050,CPS,0.05,1.4224,-96.4848,MATERIAL_DIFFERENCE,TECHNOLOGY_ECONOMICS;SCRAP_ACCOUNTING,NO_CCUS_REPRESENTATION;SCRAP_INTENSITY_EXTERNAL_PENDING,,"Material difference in co2_intensity. Associated drivers: TECHNOLOGY_ECONOMICS, SCRAP_ACCOUNTING. Limiting data: NO_CCUS_REPRESENTATION, SCRAP_INTENSITY_EXTERNAL_PENDING."
co2_intensity,2070,CPS,0.05,0.9652,-94.8197,MATERIAL_DIFFERENCE,TECHNOLOGY_ECONOMICS;SCRAP_ACCOUNTING,NO_CCUS_REPRESENTATION;SCRAP_INTENSITY_EXTERNAL_PENDING,,"Material difference in co2_intensity. Associated drivers: TECHNOLOGY_ECONOMICS, SCRAP_ACCOUNTING. Limiting data: NO_CCUS_REPRESENTATION, SCRAP_INTENSITY_EXTERNAL_PENDING."
co2_intensity,2050,NZS,0.05,0.6604,-92.4288,MATERIAL_DIFFERENCE,TECHNOLOGY_ECONOMICS;SCRAP_ACCOUNTING,NO_CCUS_REPRESENTATION;SCRAP_INTENSITY_EXTERNAL_PENDING,,"Material difference in co2_intensity. Associated drivers: TECHNOLOGY_ECONOMICS, SCRAP_ACCOUNTING. Limiting data: NO_CCUS_REPRESENTATION, SCRAP_INTENSITY_EXTERNAL_PENDING."
co2_intensity,2070,NZS,0.05,0.127,-60.6299,MATERIAL_DIFFERENCE,TECHNOLOGY_ECONOMICS;SCRAP_ACCOUNTING,NO_CCUS_REPRESENTATION;SCRAP_INTENSITY_EXTERNAL_PENDING,,"Material difference in co2_intensity. Associated drivers: TECHNOLOGY_ECONOMICS, SCRAP_ACCOUNTING. Limiting data: NO_CCUS_REPRESENTATION, SCRAP_INTENSITY_EXTERNAL_PENDING."
co2_total,2050,CPS,31.200000000000003,887.5776000000001,-96.4848,MATERIAL_DIFFERENCE,,,,Material difference in co2_total.
co2_total,2070,CPS,41.050000000000004,792.4291999999999,-94.8197,MATERIAL_DIFFERENCE,,,,Material difference in co2_total.
co2_total,2050,NZS,31.200000000000003,412.0896,-92.4288,MATERIAL_DIFFERENCE,,,,Material difference in co2_total.
co2_total,2070,NZS,41.050000000000004,104.267,-60.6299,MATERIAL_DIFFERENCE,,,,Material difference in co2_total.
green_h2_steel,2050,CPS,0.0,2.0,0.0,NOT_COMPARABLE,TECHNOLOGY_ECONOMICS,H2_DRI_FULL_PLANT_ECONOMICS_EXTERNAL_PENDING;M1_DEFERRED,,"green_h2_steel not comparable to Vol.4 due to definition/boundary mismatch. Associated drivers: TECHNOLOGY_ECONOMICS. Limiting data: H2_DRI_FULL_PLANT_ECONOMICS_EXTERNAL_PENDING, M1_DEFERRED."
green_h2_steel,2070,CPS,0.0,13.3,0.0,NOT_COMPARABLE,TECHNOLOGY_ECONOMICS,H2_DRI_FULL_PLANT_ECONOMICS_EXTERNAL_PENDING;M1_DEFERRED,,"green_h2_steel not comparable to Vol.4 due to definition/boundary mismatch. Associated drivers: TECHNOLOGY_ECONOMICS. Limiting data: H2_DRI_FULL_PLANT_ECONOMICS_EXTERNAL_PENDING, M1_DEFERRED."
green_h2_steel,2050,NZS,0.0,13.0,0.0,NOT_COMPARABLE,TECHNOLOGY_ECONOMICS,H2_DRI_FULL_PLANT_ECONOMICS_EXTERNAL_PENDING;M1_DEFERRED,,"green_h2_steel not comparable to Vol.4 due to definition/boundary mismatch. Associated drivers: TECHNOLOGY_ECONOMICS. Limiting data: H2_DRI_FULL_PLANT_ECONOMICS_EXTERNAL_PENDING, M1_DEFERRED."
green_h2_steel,2070,NZS,0.0,28.2,0.0,NOT_COMPARABLE,TECHNOLOGY_ECONOMICS,H2_DRI_FULL_PLANT_ECONOMICS_EXTERNAL_PENDING;M1_DEFERRED,,"green_h2_steel not comparable to Vol.4 due to definition/boundary mismatch. Associated drivers: TECHNOLOGY_ECONOMICS. Limiting data: H2_DRI_FULL_PLANT_ECONOMICS_EXTERNAL_PENDING, M1_DEFERRED."
final_energy_steel,2025,CPS,5.4418,69.0,0.0,NOT_COMPARABLE,,CAPTIVE_BOUNDARY_MISMATCH,,final_energy_steel not comparable to Vol.4 due to definition/boundary mismatch. Limiting data: CAPTIVE_BOUNDARY_MISMATCH.
final_energy_steel,2070,CPS,27.4529,251.0,0.0,NOT_COMPARABLE,,CAPTIVE_BOUNDARY_MISMATCH,,final_energy_steel not comparable to Vol.4 due to definition/boundary mismatch. Limiting data: CAPTIVE_BOUNDARY_MISMATCH.
final_energy_steel,2025,NZS,5.4418,69.0,0.0,NOT_COMPARABLE,,CAPTIVE_BOUNDARY_MISMATCH,,final_energy_steel not comparable to Vol.4 due to definition/boundary mismatch. Limiting data: CAPTIVE_BOUNDARY_MISMATCH.
final_energy_steel,2070,NZS,27.4529,155.0,0.0,NOT_COMPARABLE,,CAPTIVE_BOUNDARY_MISMATCH,,final_energy_steel not comparable to Vol.4 due to definition/boundary mismatch. Limiting data: CAPTIVE_BOUNDARY_MISMATCH.
electricity_steel,2050,CPS,21.461736887360274,0.0,0.0,NOT_COMPARABLE,,CAPTIVE_BOUNDARY_MISMATCH,,electricity_steel not comparable to Vol.4 due to definition/boundary mismatch. Limiting data: CAPTIVE_BOUNDARY_MISMATCH.
