year,constraint_type,available,used,slack,pressure,binding_status
2024,demand,144.29,144.29,0.0,1.0,BINDING
2024,capacity_BF-BOF,0.0,0.0,0.0,,NON_BINDING
2024,capacity_NG-DRI-EAF,0.0,0.0,0.0,,NON_BINDING
2024,capacity_Scrap-EAF,144.29,144.29,0.0,1.0,BINDING
2024,deployment_BF-BOF,,0.0,,,UNCONSTRAINED
2024,deployment_NG-DRI-EAF,,0.0,,,UNCONSTRAINED
2024,deployment_Scrap-EAF,,0.0,,,UNCONSTRAINED
2024,scrap,,-0.0,,,UNCONSTRAINED
2024,resource_iron_ore,,-0.0,,,UNCONSTRAINED
2024,resource_scrap,,-0.0,,,UNCONSTRAINED
2024,resource_coking_coal,,0.0,,,UNCONSTRAINED
2024,resource_non_coking_coal,,0.0,,,UNCONSTRAINED
2024,resource_natural_gas,,-0.0,,,UNCONSTRAINED
2024,resource_hydrogen,,0.0,,,UNCONSTRAINED
2024,resource_electricity_route,,57.716,,,UNCONSTRAINED
2024,emissions,,7.2145,,,UNCONSTRAINED
2025,demand,162.7403846153846,162.7403846153846,0.0,1.0,BINDING
2025,capacity_BF-BOF,0.0,0.0,0.0,,NON_BINDING
2025,capacity_NG-DRI-EAF,0.0,0.0,0.0,,NON_BINDING
2025,capacity_Scrap-EAF,162.7403846153846,162.7403846153846,0.0,1.0,BINDING
2025,deployment_BF-BOF,,0.0,,,UNCONSTRAINED
2025,deployment_NG-DRI-EAF,,0.0,,,UNCONSTRAINED
2025,deployment_Scrap-EAF,,0.0,,,UNCONSTRAINED
2025,scrap,,-0.0,,,UNCONSTRAINED
2025,resource_iron_ore,,-0.0,,,UNCONSTRAINED
2025,resource_scrap,,-0.0,,,UNCONSTRAINED
2025,resource_coking_coal,,0.0,,,UNCONSTRAINED
2025,resource_non_coking_coal,,0.0,,,UNCONSTRAINED
2025,resource_natural_gas,,-0.0,,,UNCONSTRAINED
2025,resource_hydrogen,,0.0,,,UNCONSTRAINED
2025,resource_electricity_route,,65.09615384615385,,,UNCONSTRAINED
2025,emissions,,8.137019230769232,,,UNCONSTRAINED
2026,demand,181.19076923076923,181.19076923076923,0.0,1.0,BINDING
2026,capacity_BF-BOF,0.0,0.0,0.0,,NON_BINDING
2026,capacity_NG-DRI-EAF,0.0,0.0,0.0,,NON_BINDING
2026,capacity_Scrap-EAF,181.19076923076923,181.19076923076923,0.0,1.0,BINDING
2026,deployment_BF-BOF,,0.0,,,UNCONSTRAINED
2026,deployment_NG-DRI-EAF,,0.0,,,UNCONSTRAINED
2026,deployment_Scrap-EAF,,0.0,,,UNCONSTRAINED
2026,scrap,,-0.0,,,UNCONSTRAINED
2026,resource_iron_ore,,-0.0,,,UNCONSTRAINED
2026,resource_scrap,,-0.0,,,UNCONSTRAINED
2026,resource_coking_coal,,0.0,,,UNCONSTRAINED
2026,resource_non_coking_coal,,0.0,,,UNCONSTRAINED
