year,technology_a,technology_b,cost_a,cost_b,comparison_status,crossover_detected
2024,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2025,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2026,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2027,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2028,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2029,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2030,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2031,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2032,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2033,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2034,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2035,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2036,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2037,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2038,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2039,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2040,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2041,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2042,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2043,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2044,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2045,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2046,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2047,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2048,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2049,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2050,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2051,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2052,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2053,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2054,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2055,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2056,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2057,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2058,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2059,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2060,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2061,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2062,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2063,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2064,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2065,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2066,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2067,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2068,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2069,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
2070,BF-BOF,NG-DRI-EAF,304.8611111111111,440.1586361242759,COMPARABLE,False
