year,technology,production,share,installed_capacity,new_capacity,retirement,capex_contribution,fom_contribution,vom_contribution,fuel_cost,resource_cost,electricity_cost,emission_cost,effective_cost,unit_effective_cost,capacity_used,capacity_available,deployment_used,deployment_available,scrap_used,scrap_available,resource_used,resource_available,learning_enabled,learning_effect,learning_provenance,provenance,data_completeness,interpretability_status
2024,BF-BOF,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8611111111111,0.0,-0.0,0.0,,0.0,,{},{},False,,,PROJECT_PROPOSAL,COMPLETE,DATA_LIMITED
2025,BF-BOF,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8611111111111,0.0,-0.0,0.0,,0.0,,{},{},False,,,PROJECT_PROPOSAL,COMPLETE,DATA_LIMITED
2026,BF-BOF,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8611111111111,0.0,-0.0,0.0,,0.0,,{},{},False,,,PROJECT_PROPOSAL,COMPLETE,DATA_LIMITED
2027,BF-BOF,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8611111111111,0.0,-0.0,0.0,,0.0,,{},{},False,,,PROJECT_PROPOSAL,COMPLETE,DATA_LIMITED
2028,BF-BOF,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8611111111111,0.0,-0.0,0.0,,0.0,,{},{},False,,,PROJECT_PROPOSAL,COMPLETE,DATA_LIMITED
2029,BF-BOF,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8611111111111,0.0,-0.0,0.0,,0.0,,{},{},False,,,PROJECT_PROPOSAL,COMPLETE,DATA_LIMITED
2030,BF-BOF,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8611111111111,0.0,-0.0,0.0,,0.0,,{},{},False,,,PROJECT_PROPOSAL,COMPLETE,DATA_LIMITED
2031,BF-BOF,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8611111111111,0.0,-0.0,0.0,,0.0,,{},{},False,,,PROJECT_PROPOSAL,COMPLETE,DATA_LIMITED
2032,BF-BOF,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8611111111111,0.0,-0.0,0.0,,0.0,,{},{},False,,,PROJECT_PROPOSAL,COMPLETE,DATA_LIMITED
2033,BF-BOF,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8611111111111,0.0,-0.0,0.0,,0.0,,{},{},False,,,PROJECT_PROPOSAL,COMPLETE,DATA_LIMITED
2034,BF-BOF,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8611111111111,0.0,-0.0,0.0,,0.0,,{},{},False,,,PROJECT_PROPOSAL,COMPLETE,DATA_LIMITED
2035,BF-BOF,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8611111111111,0.0,-0.0,0.0,,0.0,,{},{},False,,,PROJECT_PROPOSAL,COMPLETE,DATA_LIMITED
2036,BF-BOF,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8611111111111,0.0,-0.0,0.0,,0.0,,{},{},False,,,PROJECT_PROPOSAL,COMPLETE,DATA_LIMITED
2037,BF-BOF,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8611111111111,0.0,-0.0,0.0,,0.0,,{},{},False,,,PROJECT_PROPOSAL,COMPLETE,DATA_LIMITED
2038,BF-BOF,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8611111111111,0.0,-0.0,0.0,,0.0,,{},{},False,,,PROJECT_PROPOSAL,COMPLETE,DATA_LIMITED
2039,BF-BOF,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8611111111111,0.0,-0.0,0.0,,0.0,,{},{},False,,,PROJECT_PROPOSAL,COMPLETE,DATA_LIMITED
2040,BF-BOF,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8611111111111,0.0,-0.0,0.0,,0.0,,{},{},False,,,PROJECT_PROPOSAL,COMPLETE,DATA_LIMITED
2041,BF-BOF,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8611111111111,0.0,-0.0,0.0,,0.0,,{},{},False,,,PROJECT_PROPOSAL,COMPLETE,DATA_LIMITED
2042,BF-BOF,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8611111111111,0.0,-0.0,0.0,,0.0,,{},{},False,,,PROJECT_PROPOSAL,COMPLETE,DATA_LIMITED
2043,BF-BOF,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8611111111111,0.0,-0.0,0.0,,0.0,,{},{},False,,,PROJECT_PROPOSAL,COMPLETE,DATA_LIMITED
2044,BF-BOF,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8611111111111,0.0,-0.0,0.0,,0.0,,{},{},False,,,PROJECT_PROPOSAL,COMPLETE,DATA_LIMITED
2045,BF-BOF,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8611111111111,0.0,-0.0,0.0,,0.0,,{},{},False,,,PROJECT_PROPOSAL,COMPLETE,DATA_LIMITED
