year,technology,event_type,before_value,after_value,absolute_change,threshold,status
2024,Scrap-EAF,SPIKE_ADDITION,,160.32222222222222,160.32222222222222,5.0,DETECTED
2025,Scrap-EAF,SPIKE_ADDITION,,20.500427350427344,20.500427350427344,5.0,DETECTED
2026,Scrap-EAF,SPIKE_ADDITION,,20.500427350427373,20.500427350427373,5.0,DETECTED
2027,Scrap-EAF,SPIKE_ADDITION,,20.500427350427344,20.500427350427344,5.0,DETECTED
2028,Scrap-EAF,SPIKE_ADDITION,,20.500427350427344,20.500427350427344,5.0,DETECTED
2029,Scrap-EAF,SPIKE_ADDITION,,20.500427350427344,20.500427350427344,5.0,DETECTED
2030,Scrap-EAF,SPIKE_ADDITION,,20.500427350427344,20.500427350427344,5.0,DETECTED
2031,Scrap-EAF,SPIKE_ADDITION,,20.5004273504274,20.5004273504274,5.0,DETECTED
2032,Scrap-EAF,SPIKE_ADDITION,,20.500427350427344,20.500427350427344,5.0,DETECTED
2033,Scrap-EAF,SPIKE_ADDITION,,20.500427350427287,20.500427350427287,5.0,DETECTED
2034,Scrap-EAF,SPIKE_ADDITION,,20.5004273504274,20.5004273504274,5.0,DETECTED
2035,Scrap-EAF,SPIKE_ADDITION,,20.500427350427287,20.500427350427287,5.0,DETECTED
2036,Scrap-EAF,SPIKE_ADDITION,,20.500427350427458,20.500427350427458,5.0,DETECTED
2037,Scrap-EAF,SPIKE_ADDITION,,20.500427350427316,20.500427350427316,5.0,DETECTED
2038,Scrap-EAF,SPIKE_ADDITION,,20.500427350427344,20.500427350427344,5.0,DETECTED
2039,Scrap-EAF,SPIKE_ADDITION,,20.500427350427373,20.500427350427373,5.0,DETECTED
2040,Scrap-EAF,SPIKE_ADDITION,,20.500427350427458,20.500427350427458,5.0,DETECTED
2041,Scrap-EAF,SPIKE_ADDITION,,20.50042735042723,20.50042735042723,5.0,DETECTED
2042,Scrap-EAF,SPIKE_ADDITION,,20.500427350427344,20.500427350427344,5.0,DETECTED
2043,Scrap-EAF,SPIKE_ADDITION,,20.500427350427458,20.500427350427458,5.0,DETECTED
2044,Scrap-EAF,SPIKE_ADDITION,,20.500427350427344,20.500427350427344,5.0,DETECTED
2045,Scrap-EAF,SPIKE_ADDITION,,20.500427350427344,20.500427350427344,5.0,DETECTED
2046,Scrap-EAF,SPIKE_ADDITION,,20.50042735042723,20.50042735042723,5.0,DETECTED
2047,Scrap-EAF,SPIKE_ADDITION,,20.500427350427458,20.500427350427458,5.0,DETECTED
2048,Scrap-EAF,SPIKE_ADDITION,,20.500427350427458,20.500427350427458,5.0,DETECTED
2049,Scrap-EAF,SPIKE_ADDITION,,20.50042735042723,20.50042735042723,5.0,DETECTED
2050,Scrap-EAF,SPIKE_ADDITION,,20.500427350427316,20.500427350427316,5.0,DETECTED
2051,Scrap-EAF,SPIKE_ADDITION,,10.944444444444457,10.944444444444457,5.0,DETECTED
2052,Scrap-EAF,SPIKE_ADDITION,,10.944444444444457,10.944444444444457,5.0,DETECTED
2053,Scrap-EAF,SPIKE_ADDITION,,10.944444444444372,10.944444444444372,5.0,DETECTED
2054,Scrap-EAF,SPIKE_ADDITION,,10.944444444444457,10.944444444444457,5.0,DETECTED
2055,Scrap-EAF,SPIKE_ADDITION,,10.944444444444457,10.944444444444457,5.0,DETECTED
2056,Scrap-EAF,SPIKE_ADDITION,,10.94444444444457,10.94444444444457,5.0,DETECTED
2057,Scrap-EAF,SPIKE_ADDITION,,10.944444444444457,10.944444444444457,5.0,DETECTED
2058,Scrap-EAF,SPIKE_ADDITION,,10.944444444444343,10.944444444444343,5.0,DETECTED
2059,Scrap-EAF,SPIKE_ADDITION,,10.944444444444457,10.944444444444457,5.0,DETECTED
2060,Scrap-EAF,SPIKE_ADDITION,,10.944444444444457,10.944444444444457,5.0,DETECTED
2061,Scrap-EAF,SPIKE_ADDITION,,10.944444444444457,10.944444444444457,5.0,DETECTED
2062,Scrap-EAF,SPIKE_ADDITION,,10.944444444444457,10.944444444444457,5.0,DETECTED
2063,Scrap-EAF,SPIKE_ADDITION,,10.944444444444343,10.944444444444343,5.0,DETECTED
2064,Scrap-EAF,SPIKE_ADDITION,,10.94444444444457,10.94444444444457,5.0,DETECTED
2065,Scrap-EAF,SPIKE_ADDITION,,10.94444444444423,10.94444444444423,5.0,DETECTED
2066,Scrap-EAF,SPIKE_ADDITION,,10.94444444444457,10.94444444444457,5.0,DETECTED
2067,Scrap-EAF,SPIKE_ADDITION,,10.944444444444684,10.944444444444684,5.0,DETECTED
2068,Scrap-EAF,SPIKE_ADDITION,,10.944444444444343,10.944444444444343,5.0,DETECTED
2069,Scrap-EAF,SPIKE_ADDITION,,10.944444444444343,10.944444444444343,5.0,DETECTED
2070,Scrap-EAF,SPIKE_ADDITION,,10.944444444444457,10.944444444444457,5.0,DETECTED
