plant_id,company,plant_name,location_city,location_state,technology,capacity_mtpa,commissioning_year,status,source,page_table,provenance,confidence,note
SAIL-BSP-001,Steel Authority of India Limited (SAIL),Bhilai Steel Plant,Bhilai,Chhattisgarh,BF-BOF,6.16,1959,OPERATING,"Rajya Sabha reply 27.03.2026 AU3982 / Lok Sabha Apr-2023 LU 5356","RS reply AU3982 / LS LU 5356",FROZEN_EXTERNAL,HIGH,"Promoted from PROJECT_PROPOSAL 7.0 to primary 6.16 MTPA"
SAIL-RSP-001,SAIL,Rourkela Steel Plant,Rourkela,Odisha,BF-BOF,3.8,1959,OPERATING,"Rajya Sabha reply 27.03.2026 AU3982 / Lok Sabha Apr-2023 LU 5356","RS reply AU3982 / LS LU 5356",FROZEN_EXTERNAL,HIGH,"Promoted from PROJECT_PROPOSAL 4.4 to primary 3.8 MTPA"
SAIL-DSP-001,SAIL,Durgapur Steel Plant,Durgapur,West Bengal,BF-BOF,2.2,1962,OPERATING,"Rajya Sabha reply 27.03.2026 AU3982 / Lok Sabha Apr-2023 LU 5356","RS reply AU3982 / LS LU 5356",FROZEN_EXTERNAL,HIGH,
SAIL-BSL-001,SAIL,Bokaro Steel Plant,Bokaro,Jharkhand,BF-BOF,4.6,1972,OPERATING,"Rajya Sabha reply 27.03.2026 AU3982 / Lok Sabha Apr-2023 LU 5356","RS reply AU3982 / LS LU 5356",FROZEN_EXTERNAL,HIGH,"Promoted from PROJECT_PROPOSAL 5.25 to primary 4.6 MTPA"
SAIL-ISP-001,SAIL,IISCO Steel Plant,Burnpur,West Bengal,BF-BOF,2.5,1919,OPERATING,"Rajya Sabha reply 27.03.2026 AU3982 / Lok Sabha Apr-2023 LU 5356","RS reply AU3982 / LS LU 5356",FROZEN_EXTERNAL,HIGH,
SAIL-AGG-001,SAIL,SAIL Total (all plants),Multiple,Multiple,BF-BOF,19.676,,OPERATING,"Rajya Sabha reply 27.03.2026 AU3982 / Lok Sabha Apr-2023 LU 5356","RS reply AU3982 / LS LU 5356",FROZEN_EXTERNAL,HIGH,"SAIL BF hot-metal capacity 23.07 MTPA across 28 BFs (CAG Report No. 38 of 2025 Table-2/§1.7)"
RINL-VSP-001,Rashtriya Ispat Nigam Ltd (RINL),Visakhapatnam Steel Plant,Visakhapatnam,Andhra Pradesh,BF-BOF,7.3,1992,OPERATING,"Ministry of Steel Annual Report 2024-25 §5.3","MoS AR 2024-25 §5.3",FROZEN_EXTERNAL,HIGH,
TATA-AGG-001,Tata Steel Ltd (India),Tata Steel India total,Multiple,Multiple,BF-BOF,20.6,,OPERATING,"Ministry of Steel Annual Report 2024-25 §6.2 (via JPC)","MoS AR 2024-25 §6.2",FROZEN_EXTERNAL,MEDIUM,
TATA-KAL-001,Tata Steel,Kalinganagar,Kalinganagar,Odisha,BF-BOF,3.0,2015,OPERATING,"Tata Steel press release 20-Sep-2024","Tata Steel press release 20-Sep-2024",FROZEN_EXTERNAL,MEDIUM,"Ramp to 8 MTPA = PROJECT_PROPOSAL; largest BF 5,870 m3 commissioned 20-Sep-2024"
JSPL-AGG-001,Jindal Steel & Power (JSPL),JSPL total crude steel,Angul / Raigarh,Multiple,BF-BOF / Coal-DRI,9.6,,OPERATING,"JSPL disclosures (crude 9.6 = BF 7.3 + DRI 3.12)","JSPL capacity disclosures",FROZEN_EXTERNAL,MEDIUM,"Site-level BOF/EAF split is a GAP"
