parameter_id,technology,parameter,value,unit,year,currency,base_year,scope,provenance,source_title,source_organization,source_url,document_filename,page,table_or_figure,extraction_method,normalization_formula,confidence,notes
INTENSITY_COKING_COAL_BF_BOF,BF-BOF,coking coal intensity,0.89,t/t steel,2030,N/A,N/A,BF-BOF production coking coal input,EXTERNAL,Report of the Inter-Ministerial Committee for augmentation and consumption of domestic coking coal (Mission Coking Coal),"Ministry of Coal, Government of India",http://coal.gov.in/sites/default/files/2021-01/IMC-Report.pdf,imc_report_2021.pdf,10-11,Table 1,161 Mt coking coal (10-11% ash) required for 181 Mt steel through blast furnace route by FY2030 (NSP-2017 basis); ratio 161/181 = 0.889 t/t.,161 Mt coking coal / 181 Mt BF-route crude steel = 0.889 t/t,MEDIUM,"DATA CLOSURE ROUND 3: SUPERSEDES prior web-derived record (coke rate 450-550 kg/THM x 1.4 x 0.9 = 0.65) which was INVALIDATED (SEC single-fuel shortcut). Promoted from primary government source (Ministry of Coal, 2021). Planning-demand basis (FY2030); CAG-2025 SAIL audit cross-check recorded. Value enters model via candidate config intensity_overrides; official baseline registry value stays null. PHASE 20: unchanged (retained)."
INTENSITY_SCRAP_SCRAP_EAF,Scrap-EAF,scrap intensity (pure-scrap EAF charge),1.05,t/t steel,2018,N/A,N/A,"Scrap-EAF production scrap input (100% scrap metallic charge, per tonne crude steel)",FROZEN_EXTERNAL,Weighing regional scrap availability in global pathways for steel production processes,"Xylia, M., Silveira, S., Duerinck, J., Meinke-Hubeny, F. - Energy Efficiency (Springer), vol. 11, iss. 5, pp. 1055-1075",https://doi.org/10.1007/s12053-017-9596-7,xylia_2018_energy_efficiency.pdf,1063,"Table 2 (Assumptions for the steel production processes, per tonne crude steel)",EAF route scrap input listed directly as 1.05 ton per tonne crude steel (100% scrap metallic charge; melt yield ~95.2%).,Direct table value (no conversion; route boundary = scrap charged / tonne crude steel out),MEDIUM,"PHASE 20 PROMOTION (RULE ZERO COMPLETE): peer-reviewed exact-table value for the EAF (scrap-based) route. Corroborated by IEA Iron & Steel Technology Roadmap 2020, Ch.1 notes (extract line 1086): 'Metallic input of 1.05-1.2 tonnes is required per tonne of steel' (process-yield basis). worldsteel 0.88/0.71 remain BLENDED recycled-EAF route (scrap + DRI/hot metal) - boundary mismatch, NOT used. Scope note: global process-yield parameter (melting loss is route physics, not country-specific); consistent with the model's pure-scrap Scrap-EAF route. SUPERSEDES round-3 EXTERNAL_PENDING status and the diagnostic-only 1.08 / 1.10 values (both INVALIDATED as working values; 1.08 remains override-only). Uncertainty bounds retained: SCRAP_LOW 1.0, SCRAP_HIGH 1.15. Enters model via candidate config intensity_overrides (Scrap-EAF/scrap = 1.05); shared registry stays null for baseline invariance."
INTENSITY_NON_COKING_COAL_COAL_DRI_EAF,Coal-DRI-EAF,non-coking coal intensity,,t/t steel,2024,N/A,N/A,Coal-DRI-EAF production non-coking coal input,EXTERNAL_PENDING,Decarbonising Coal-based Direct Reduced Iron Production,CEEW,https://www.ceew.in,ceew_decarbonising_dri_2024.pdf,12,Table 2,INVALIDATED - prior freeze scaled CEEW coal rate (1.4-1.6 t/t DRI) by an assumed 80% DRI-EAF charge ratio which is UNRESOLVED (IBM IMYB 2022 vs CEEW conflict).,EXTERNAL_PENDING - DRI charge ratio unresolved,LOW,DATA CLOSURE ROUND 3: value 1.2 INVALIDATED. PHASE 20: Coal-DRI-EAF charge ratio remains UNRESOLVED (no defensible EAF-specific DRI charge ratio found) => route treatment DEFERRED per special rule. CEEW value is per tonne DRI (not per tonne steel); DRI-to-steel charge ratio EXTERNAL_PENDING. Do not promote.
INTENSITY_NON_COKING_COAL_COAL_DRI_IF,Coal-DRI-IF,non-coking coal intensity,,t/t steel,2024,N/A,N/A,Coal-DRI-IF production non-coking coal input,EXTERNAL_PENDING,Decarbonising Coal-based Direct Reduced Iron Production,CEEW,https://www.ceew.in,ceew_decarbonising_dri_2024.pdf,15,Section 3.2,INVALIDATED - prior freeze scaled CEEW coal rate (1.4-1.6 t/t DRI) by an assumed 61% DRI-IF charge ratio which is UNRESOLVED (IBM IMYB 2022 ~40% DRI charge vs CEEW 2024 ~12.5% scrap use; conflict).,EXTERNAL_PENDING - DRI charge ratio unresolved,LOW,"DATA CLOSURE ROUND 3: value 0.92 INVALIDATED. PHASE 20: charge-ratio conflict re-confirmed (IBM IMYB 2022 ~40% DRI + ~50% scrap national average vs CEEW 2024 ~12.5% scrap cluster survey vs Fastmarkets 2023 50-70% DRI / 30-40% scrap dynamic market observation). Definitions/samples differ; UNRESOLVED. Retained as scenario alternatives (DRI_IBM 0.40, DRI_CEEW 0.875), never frozen. Do not promote."
INTENSITY_IRON_ORE_BF_BOF,BF-BOF,iron ore intensity,1.45,t/t steel,2024,N/A,N/A,BF-BOF production iron ore input,EXTERNAL,Iron and Steel Technology Roadmap,IEA,https://www.iea.org,iea_iron_steel_technology_roadmap_2020.pdf,30,Fig 1.10 Notes,Standard global BF-BOF iron ore specific input,Direct extraction,HIGH,Corresponds to 1.6 t ore per t hot metal at 90% hot metal ratio. PHASE 20: unchanged (retained).
INTENSITY_IRON_ORE_COAL_DRI_EAF,Coal-DRI-EAF,iron ore intensity,,t/t steel,2024,N/A,N/A,Coal-DRI-EAF production iron ore input,EXTERNAL_PENDING,Decarbonising Coal-based Direct Reduced Iron Production,CEEW,https://www.ceew.in,ceew_decarbonising_dri_2024.pdf,12,Table 2,INVALIDATED - prior freeze scaled pellet input (1.4-1.6 t/t DRI) by an assumed 80% DRI charge ratio which is UNRESOLVED.,EXTERNAL_PENDING - DRI charge ratio unresolved,LOW,DATA CLOSURE ROUND 3: value 1.2 INVALIDATED. PHASE 20: Coal-DRI-EAF route DEFERRED (no EAF-specific charge ratio); per-tonne-DRI basis; charge ratio EXTERNAL_PENDING. Do not promote.
INTENSITY_IRON_ORE_COAL_DRI_IF,Coal-DRI-IF,iron ore intensity,,t/t steel,2024,N/A,N/A,Coal-DRI-IF production iron ore input,EXTERNAL_PENDING,Decarbonising Coal-based Direct Reduced Iron Production,CEEW,https://www.ceew.in,ceew_decarbonising_dri_2024.pdf,15,Section 3.2,INVALIDATED - prior freeze scaled pellet input (1.4-1.6 t/t DRI) by an assumed 61% DRI charge ratio which is UNRESOLVED.,EXTERNAL_PENDING - DRI charge ratio unresolved,LOW,DATA CLOSURE ROUND 3: value 0.92 INVALIDATED. PHASE 20: charge-ratio conflict UNRESOLVED (IBM vs CEEW vs Fastmarkets). Per-tonne-DRI basis; DRI-to-steel charge ratio EXTERNAL_PENDING. Do not promote.
CAPEX_ELECTROLYSER_H2DRI,H2-DRI-EAF,"CAPEX (electrolyser component, overnight)",452,USD/kWe,2020,USD,2019,"Electrolyser process-equipment CAPEX (overnight; stacks, power electronics, water treatment, gas purification, EPC), excludes upstream electricity generation and downstream storage",FROZEN_EXTERNAL,Iron and Steel Technology Roadmap 2020 - Ch.2 levelised cost notes,IEA,https://www.iea.org,iea_iron_steel_technology_roadmap_2020.pdf,108,Notes to Fig 2.12 (extract line 5144),"Direct: ""Electrolyser CAPEX = USD 452/kWe and OPEX = USD 7/kWe. 8% discount rate, 25-year lifetime and a 90% capacity factor are used for all equipment.""","Direct extraction (overnight, USD/kWe electrical input capacity)",HIGH,"PHASE 20: electrolyser component FROZEN (IEA 2020 p.108). M1-interface rule: the M1 learning parameter may affect ONLY this electrolyser component (USD/kWe); it must NOT scale DRI shaft, EAF, BOP or full-plant CAPEX. M1 remains DEFERRED (no real historical electrolyser cost/deployment dataset)."
OPEX_ELECTROLYSER_H2DRI,H2-DRI-EAF,"OPEX (electrolyser component, fixed)",7,USD/kWe,2020,USD,2019,"Electrolyser fixed O&M (per kWe, same boundary as CAPEX component)",FROZEN_EXTERNAL,Iron and Steel Technology Roadmap 2020 - Ch.2 levelised cost notes,IEA,https://www.iea.org,iea_iron_steel_technology_roadmap_2020.pdf,108,Notes to Fig 2.12 (extract line 5144),"Direct: ""Electrolyser CAPEX = USD 452/kWe and OPEX = USD 7/kWe.""",Direct extraction,HIGH,PHASE 20: electrolyser fixed OPEX FROZEN (IEA 2020 p.108). Same boundary as CAPEX component. Do not double-count with route-level FOM/VOM.
CAPEX_ELECTROLYSER_INDIA_VRE_2035,H2-DRI-EAF,"CAPEX (electrolyser, India VRE case 2035)",500,USD/kW,2035,USD,2019,"India VRE-based H2-DRI electrolyser CAPEX (70% LHV efficiency incl. compression to 60 bar), India-specific case",EXTERNAL,"Iron and Steel Technology Roadmap 2020 - India chapter, VRE H2-DRI case",IEA,https://www.iea.org,iea_iron_steel_technology_roadmap_2020.pdf,137,Notes to India VRE H2-DRI figure (extract line 6621),"Direct: ""Electrolyser: CAPEX = USD 500/kW, 70% efficiency on a lower heating value basis including compression to 60 bars for storage. Grid electricity = USD 68/MWh and 184 gCO2/kWh.""",Direct extraction (India 2035 VRE case),MEDIUM,"PHASE 20: India-specific electrolyser CAPEX scenario value (2035 VRE case). Used as scenario alternative alongside global 452 USD/kWe. LCOH in same study: USD 1.7-2.1/kg H2. Recorded as EXTERNAL scenario value, not the model's frozen component (the model component remains 452 USD/kWe global)."
