year,technology,cumulative_installed_capacity_gw,cost_low,cost_high,cost_unit,currency,base_year,system_boundary,geography,source,page_or_table,confidence,observation_type,status
2018,PEM,0.03775,1000,2000,USD/kW,USD,2018,turnkey system,Global,IRENA Green Hydrogen Cost Reduction 2020 snapshot (PEM turnkey system range),,LOW,historical_snapshot,M1_ANCHOR_ONLY
2019,Alkaline,0.14951,452,452,USD/kWe,USD,2019,process equipment + EPC (incl. electrolysers),Global,IEA Iron & Steel Technology Roadmap 2020 p.108 (extract line 5144),Fig 2.12 notes,HIGH,historical_parameter,M1_ANCHOR_ONLY
2019,Alkaline,0.14951,285,1067,USD/kWe,USD,2019,process equipment + EPC,Global,IEA Iron & Steel Technology Roadmap 2020 Fig 2.12 low/high cases (extract lines 5222-5223),Fig 2.12 notes,HIGH,historical_parameter_bounds,M1_ANCHOR_ONLY
2015,Alkaline,0.13377,1164.59,1164.59,USD/kW,USD,2024,"system-level (large-scale >=1 MWe), USD/kW, USD 2024 CPI-standardized; verified exact against Zenodo 16417026 V2.0 coding-friendly DB V1.0 Actual_CAPEX_mean (Nature Scientific Data 2025 methods: CAPEX = full system incl. equipment, installation, infrastructure, interconnection)",Global,Nature Scientific Data 2025 - Vatankhah Ghadim et al. (Clean technology cost projections) DOI 10.1038/s41597-025-05951-4,Zenodo 16417026 V2.0 - coding-friendly cost database V1.0 sheet CAPEX-Alkaline Electrolysis Actual_CAPEX_mean (verified),HIGH,historical_parameter,M1_ANCHOR_ONLY
2016,Alkaline,0.13685,1138.42,1138.42,USD/kW,USD,2024,"system-level (large-scale >=1 MWe), USD/kW, USD 2024 CPI-standardized; verified exact against Zenodo 16417026 V2.0 coding-friendly DB V1.0 Actual_CAPEX_mean (Nature Scientific Data 2025 methods: CAPEX = full system incl. equipment, installation, infrastructure, interconnection)",Global,Nature Scientific Data 2025 - Vatankhah Ghadim et al. (Clean technology cost projections) DOI 10.1038/s41597-025-05951-4,Zenodo 16417026 V2.0 - coding-friendly cost database V1.0 sheet CAPEX-Alkaline Electrolysis Actual_CAPEX_mean (verified),HIGH,historical_parameter,M1_ANCHOR_ONLY
2017,Alkaline,0.14041,978.5,978.5,USD/kW,USD,2024,"system-level (large-scale >=1 MWe), USD/kW, USD 2024 CPI-standardized; verified exact against Zenodo 16417026 V2.0 coding-friendly DB V1.0 Actual_CAPEX_mean (Nature Scientific Data 2025 methods: CAPEX = full system incl. equipment, installation, infrastructure, interconnection)",Global,Nature Scientific Data 2025 - Vatankhah Ghadim et al. (Clean technology cost projections) DOI 10.1038/s41597-025-05951-4,Zenodo 16417026 V2.0 - coding-friendly cost database V1.0 sheet CAPEX-Alkaline Electrolysis Actual_CAPEX_mean (verified),HIGH,historical_parameter,M1_ANCHOR_ONLY
2019,Alkaline,0.14951,1184.5,1184.5,USD/kW,USD,2024,"system-level (large-scale >=1 MWe), USD/kW, USD 2024 CPI-standardized; verified exact against Zenodo 16417026 V2.0 coding-friendly DB V1.0 Actual_CAPEX_mean (Nature Scientific Data 2025 methods: CAPEX = full system incl. equipment, installation, infrastructure, interconnection)",Global,Nature Scientific Data 2025 - Vatankhah Ghadim et al. (Clean technology cost projections) DOI 10.1038/s41597-025-05951-4,Zenodo 16417026 V2.0 - coding-friendly cost database V1.0 sheet CAPEX-Alkaline Electrolysis Actual_CAPEX_mean (verified),HIGH,historical_parameter,M1_ANCHOR_ONLY
2020,Alkaline,0.20,983.65,983.65,USD/kW,USD,2024,"system-level (large-scale >=1 MWe), USD/kW, USD 2024 CPI-standardized; verified exact against Zenodo 16417026 V2.0 coding-friendly DB V1.0 Actual_CAPEX_mean (Nature Scientific Data 2025 methods: CAPEX = full system incl. equipment, installation, infrastructure, interconnection)",Global,Nature Scientific Data 2025 - Vatankhah Ghadim et al. (Clean technology cost projections) DOI 10.1038/s41597-025-05951-4,Zenodo 16417026 V2.0 - coding-friendly cost database V1.0 sheet CAPEX-Alkaline Electrolysis Actual_CAPEX_mean (verified),HIGH,historical_parameter,M1_ANCHOR_ONLY
2021,Alkaline,0.37,965.63,965.63,USD/kW,USD,2024,"system-level (large-scale >=1 MWe), USD/kW, USD 2024 CPI-standardized; verified exact against Zenodo 16417026 V2.0 coding-friendly DB V1.0 Actual_CAPEX_mean (Nature Scientific Data 2025 methods: CAPEX = full system incl. equipment, installation, infrastructure, interconnection)",Global,Nature Scientific Data 2025 - Vatankhah Ghadim et al. (Clean technology cost projections) DOI 10.1038/s41597-025-05951-4,Zenodo 16417026 V2.0 - coding-friendly cost database V1.0 sheet CAPEX-Alkaline Electrolysis Actual_CAPEX_mean (verified),HIGH,historical_parameter,M1_ANCHOR_ONLY
2022,Alkaline,0.40,978.5,978.5,USD/kW,USD,2024,"system-level (large-scale >=1 MWe), USD/kW, USD 2024 CPI-standardized; verified exact against Zenodo 16417026 V2.0 coding-friendly DB V1.0 Actual_CAPEX_mean (Nature Scientific Data 2025 methods: CAPEX = full system incl. equipment, installation, infrastructure, interconnection)",Global,Nature Scientific Data 2025 - Vatankhah Ghadim et al. (Clean technology cost projections) DOI 10.1038/s41597-025-05951-4,Zenodo 16417026 V2.0 - coding-friendly cost database V1.0 sheet CAPEX-Alkaline Electrolysis Actual_CAPEX_mean (verified),HIGH,historical_parameter,M1_ANCHOR_ONLY
