asset_id,asset_name,technology,technology_subtype,capacity_mt_per_year,commissioning_year,retirement_year,lifetime_years,availability_factor,location,owner,source,source_reference,provenance,confidence,notes
BF_BOF_COHORT_2005,BF-BOF Vintage Cohort 2000-2009,BF_BOF,Blast Furnace - Basic Oxygen Furnace,19.5,2005,,30.0,0.9,,,Ministry of Steel / NITI Vol. 4 Baseline Representative Cohorts,Chapter 2 p. 43,PROJECT_PROPOSAL,PROPOSAL,Representative legacy vintage cohort 2000-2009
BF_BOF_COHORT_2012,BF-BOF Vintage Cohort 2010-2014,BF_BOF,Blast Furnace - Basic Oxygen Furnace,19.5,2012,,30.0,0.9,,,Ministry of Steel / NITI Vol. 4 Baseline Representative Cohorts,Chapter 2 p. 43,PROJECT_PROPOSAL,PROPOSAL,Representative expansion vintage cohort 2010-2014
BF_BOF_COHORT_2017,BF-BOF Vintage Cohort 2015-2019,BF_BOF,Blast Furnace - Basic Oxygen Furnace,19.5,2017,,30.0,0.9,,,Ministry of Steel / NITI Vol. 4 Baseline Representative Cohorts,Chapter 2 p. 43,PROJECT_PROPOSAL,PROPOSAL,Representative modernization vintage cohort 2015-2019
BF_BOF_COHORT_2022,BF-BOF Vintage Cohort 2020-2024,BF_BOF,Blast Furnace - Basic Oxygen Furnace,19.5,2022,,30.0,0.9,,,Ministry of Steel / NITI Vol. 4 Baseline Representative Cohorts,Chapter 2 p. 43,PROJECT_PROPOSAL,PROPOSAL,Representative recent vintage cohort 2020-2024
COAL_DRI_IF_COHORT_2005,Coal-DRI-IF Vintage Cohort 2000-2009,COAL_DRI_IF,Coal-based DRI with Induction Furnace,16.0,2005,,20.0,0.85,,,Ministry of Steel / NITI Vol. 4 Baseline Representative Cohorts,Chapter 2 p. 43,PROJECT_PROPOSAL,PROPOSAL,Representative legacy vintage cohort 2000-2009
COAL_DRI_IF_COHORT_2012,Coal-DRI-IF Vintage Cohort 2010-2014,COAL_DRI_IF,Coal-based DRI with Induction Furnace,16.0,2012,,20.0,0.85,,,Ministry of Steel / NITI Vol. 4 Baseline Representative Cohorts,Chapter 2 p. 43,PROJECT_PROPOSAL,PROPOSAL,Representative expansion vintage cohort 2010-2014
COAL_DRI_IF_COHORT_2017,Coal-DRI-IF Vintage Cohort 2015-2019,COAL_DRI_IF,Coal-based DRI with Induction Furnace,16.0,2017,,20.0,0.85,,,Ministry of Steel / NITI Vol. 4 Baseline Representative Cohorts,Chapter 2 p. 43,PROJECT_PROPOSAL,PROPOSAL,Representative modernization vintage cohort 2015-2019
COAL_DRI_IF_COHORT_2022,Coal-DRI-IF Vintage Cohort 2020-2024,COAL_DRI_IF,Coal-based DRI with Induction Furnace,16.0,2022,,20.0,0.85,,,Ministry of Steel / NITI Vol. 4 Baseline Representative Cohorts,Chapter 2 p. 43,PROJECT_PROPOSAL,PROPOSAL,Representative recent vintage cohort 2020-2024
COAL_DRI_EAF_COHORT_2005,Coal-DRI-EAF Vintage Cohort 2000-2009,COAL_DRI_EAF,Coal-based DRI with Electric Arc Furnace,6.25,2005,,25.0,0.88,,,Ministry of Steel / NITI Vol. 4 Baseline Representative Cohorts,Chapter 2 p. 43,PROJECT_PROPOSAL,PROPOSAL,Representative legacy vintage cohort 2000-2009
COAL_DRI_EAF_COHORT_2012,Coal-DRI-EAF Vintage Cohort 2010-2014,COAL_DRI_EAF,Coal-based DRI with Electric Arc Furnace,6.25,2012,,25.0,0.88,,,Ministry of Steel / NITI Vol. 4 Baseline Representative Cohorts,Chapter 2 p. 43,PROJECT_PROPOSAL,PROPOSAL,Representative expansion vintage cohort 2010-2014
COAL_DRI_EAF_COHORT_2017,Coal-DRI-EAF Vintage Cohort 2015-2019,COAL_DRI_EAF,Coal-based DRI with Electric Arc Furnace,6.25,2017,,25.0,0.88,,,Ministry of Steel / NITI Vol. 4 Baseline Representative Cohorts,Chapter 2 p. 43,PROJECT_PROPOSAL,PROPOSAL,Representative modernization vintage cohort 2015-2019
COAL_DRI_EAF_COHORT_2022,Coal-DRI-EAF Vintage Cohort 2020-2024,COAL_DRI_EAF,Coal-based DRI with Electric Arc Furnace,6.25,2022,,25.0,0.88,,,Ministry of Steel / NITI Vol. 4 Baseline Representative Cohorts,Chapter 2 p. 43,PROJECT_PROPOSAL,PROPOSAL,Representative recent vintage cohort 2020-2024
NG_DRI_EAF_COHORT_2012,NG-DRI-EAF Vintage Cohort 2010-2014,NG_DRI_EAF,Gas-based DRI with Electric Arc Furnace,3.25,2012,,25.0,0.88,,,Ministry of Steel / NITI Vol. 4 Baseline Representative Cohorts,Chapter 2 p. 43,PROJECT_PROPOSAL,PROPOSAL,Representative gas-DRI vintage cohort 2010-2014
NG_DRI_EAF_COHORT_2017,NG-DRI-EAF Vintage Cohort 2015-2019,NG_DRI_EAF,Gas-based DRI with Electric Arc Furnace,3.25,2017,,25.0,0.88,,,Ministry of Steel / NITI Vol. 4 Baseline Representative Cohorts,Chapter 2 p. 43,PROJECT_PROPOSAL,PROPOSAL,Representative gas-DRI vintage cohort 2015-2019
SCRAP_EAF_COHORT_2017,Scrap-EAF Vintage Cohort 2015-2019,SCRAP_EAF,Scrap-based Electric Arc Furnace,3.0,2017,,25.0,0.9,,,Ministry of Steel / NITI Vol. 4 Baseline Representative Cohorts,Chapter 2 p. 43,PROJECT_PROPOSAL,PROPOSAL,Representative scrap-EAF vintage cohort 2015-2019
