scenario_id,scenario_name,policy,scrap_level,dri_alternative,fleet_id,solver_status,objective,feasible,share_BF-BOF_2030,share_BF-BOF_2050,share_BF-BOF_2070,share_Coal-DRI-EAF_2030,share_Coal-DRI-EAF_2050,share_Coal-DRI-EAF_2070,share_Coal-DRI-IF_2030,share_Coal-DRI-IF_2050,share_Coal-DRI-IF_2070,share_NG-DRI-EAF_2030,share_NG-DRI-EAF_2050,share_NG-DRI-EAF_2070,share_H2-DRI-EAF_2030,share_H2-DRI-EAF_2050,share_H2-DRI-EAF_2070,share_Scrap-EAF_2030,share_Scrap-EAF_2050,share_Scrap-EAF_2070,H2_2030,H2_2050,H2_2070,electricity_2030,electricity_2050,electricity_2070,scrap_2030,scrap_2050,scrap_2070,coal_2030,coal_2050,coal_2070,gas_2030,gas_2050,gas_2070,ore_2030,ore_2050,ore_2070,CO2_2030,CO2_2050,CO2_2070,investment_2030,investment_2050,investment_2070
CONTROL_CPS,CPS / CONTROL (no uncertainty overrides),CPS,,,,0,506663.08615429624,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,101.99692307692308,249.60000000000002,328.40000000000003,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12.749615384615385,31.200000000000003,41.050000000000004,943.0196581196578,943.0196581196565,503.444444444445
CPS_SCRAP_LOW_DRI_IBM_FLEET_CONSERVATIVE,CPS / SCRAP_LOW / DRI_IBM / FLEET_CONSERVATIVE,CPS,SCRAP_LOW,DRI_IBM,FLEET_CONSERVATIVE,0,1266918.9709397447,True,0.0,0.4730867850098619,0.5995202848308816,0.0,0.0,0.0,1.0,0.5269132149901381,0.40047971516911834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.49461538461537,244.916,254.766,38.24884615384615,93.6,123.15,152.9953846153846,197.2763076923077,197.2763076923077,-0.0,-0.0,-0.0,152.9953846153846,625.3252307692308,910.9752307692307,586.4823076923077,1506.0494769230768,2006.429476923077,10445.00972850679,1496.531196581201,798.9444444444454
CPS_SCRAP_LOW_DRI_IBM_FLEET_CENTRAL,CPS / SCRAP_LOW / DRI_IBM / FLEET_CENTRAL,CPS,SCRAP_LOW,DRI_IBM,FLEET_CENTRAL,0,1291201.8786681613,True,0.0,0.5026547090729785,0.6219933476998034,0.0,0.0,0.0,1.0,0.49734529092702157,0.37800665230019664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.49461538461537,232.92324999999994,242.77324999999993,38.24884615384615,93.6,123.14999999999999,152.9953846153846,186.20607692307686,186.20607692307686,-0.0,-0.0,-0.0,152.9953846153846,641.0080576923078,926.6580576923077,586.4823076923077,1510.4775692307694,2010.8575692307693,11578.028959276013,1496.531196581192,798.9444444444537
CPS_SCRAP_LOW_DRI_IBM_FLEET_ALTERNATIVE,CPS / SCRAP_LOW / DRI_IBM / FLEET_ALTERNATIVE,CPS,SCRAP_LOW,DRI_IBM,FLEET_ALTERNATIVE,0,1299650.6966370502,True,0.0,0.5173631656804734,0.6331724913332708,0.0,0.0,0.0,1.0,0.4826368343195267,0.3668275086667292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.49461538461537,226.9575,236.8075,38.24884615384615,93.6,123.14999999999999,152.9953846153846,180.69923076923078,180.69923076923078,-0.0,-0.0,-0.0,152.9953846153846,648.8094230769229,934.4594230769229,586.4823076923077,1512.6803076923077,2013.0603076923076,12014.456334841632,1496.531196581192,798.9444444444454
CPS_SCRAP_LOW_DRI_CEEW_FLEET_CONSERVATIVE,CPS / SCRAP_LOW / DRI_CEEW / FLEET_CONSERVATIVE,CPS,SCRAP_LOW,DRI_CEEW,FLEET_CONSERVATIVE,0,1399881.214033909,True,1.0,1.0,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.749615384615385,31.200000000000003,41.050000000000004,38.24884615384615,93.6,123.14999999999999,0.0,0.0,0.0,-0.0,-0.0,-0.0,369.73884615384617,904.8,1190.45,647.6804615384615,1584.96,2085.34,1496.5311965811961,1496.5311965811961,798.9444444444454
CPS_SCRAP_LOW_DRI_CEEW_FLEET_CENTRAL,CPS / SCRAP_LOW / DRI_CEEW / FLEET_CENTRAL,CPS,SCRAP_LOW,DRI_CEEW,FLEET_CENTRAL,0,1405674.8113143614,True,1.0,1.0,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.749615384615385,31.200000000000003,41.050000000000004,38.24884615384615,93.6,123.14999999999999,0.0,0.0,0.0,-0.0,-0.0,-0.0,369.73884615384617,904.8,1190.45,647.6804615384615,1584.96,2085.34,1496.5311965811961,1496.5311965811961,798.9444444444454
CPS_SCRAP_LOW_DRI_CEEW_FLEET_ALTERNATIVE,CPS / SCRAP_LOW / DRI_CEEW / FLEET_ALTERNATIVE,CPS,SCRAP_LOW,DRI_CEEW,FLEET_ALTERNATIVE,0,1405674.8113143614,True,1.0,1.0,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.749615384615385,31.200000000000003,41.050000000000004,38.24884615384615,93.6,123.14999999999999,0.0,0.0,0.0,-0.0,-0.0,-0.0,369.73884615384617,904.8,1190.45,647.6804615384615,1584.96,2085.34,1496.5311965811961,1496.5311965811961,798.9444444444454
CPS_SCRAP_HIGH_DRI_IBM_FLEET_CONSERVATIVE,CPS / SCRAP_HIGH / DRI_IBM / FLEET_CONSERVATIVE,CPS,SCRAP_HIGH,DRI_IBM,FLEET_CONSERVATIVE,0,1266918.9709397447,True,0.0,0.4730867850098619,0.5995202848308816,0.0,0.0,0.0,1.0,0.5269132149901381,0.40047971516911834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.49461538461537,244.916,254.766,38.24884615384615,93.6,123.15,152.9953846153846,197.2763076923077,197.2763076923077,-0.0,-0.0,-0.0,152.9953846153846,625.3252307692308,910.9752307692307,586.4823076923077,1506.0494769230768,2006.429476923077,10445.00972850679,1496.531196581201,798.9444444444454
CPS_SCRAP_HIGH_DRI_IBM_FLEET_CENTRAL,CPS / SCRAP_HIGH / DRI_IBM / FLEET_CENTRAL,CPS,SCRAP_HIGH,DRI_IBM,FLEET_CENTRAL,0,1291201.8786681613,True,0.0,0.5026547090729785,0.6219933476998034,0.0,0.0,0.0,1.0,0.49734529092702157,0.37800665230019664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.49461538461537,232.92324999999994,242.77324999999993,38.24884615384615,93.6,123.14999999999999,152.9953846153846,186.20607692307686,186.20607692307686,-0.0,-0.0,-0.0,152.9953846153846,641.0080576923078,926.6580576923077,586.4823076923077,1510.4775692307694,2010.8575692307693,11578.028959276013,1496.531196581192,798.9444444444537
CPS_SCRAP_HIGH_DRI_IBM_FLEET_ALTERNATIVE,CPS / SCRAP_HIGH / DRI_IBM / FLEET_ALTERNATIVE,CPS,SCRAP_HIGH,DRI_IBM,FLEET_ALTERNATIVE,0,1299650.6966370502,True,0.0,0.5173631656804734,0.6331724913332708,0.0,0.0,0.0,1.0,0.4826368343195267,0.3668275086667292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.49461538461537,226.9575,236.8075,38.24884615384615,93.6,123.14999999999999,152.9953846153846,180.69923076923078,180.69923076923078,-0.0,-0.0,-0.0,152.9953846153846,648.8094230769229,934.4594230769229,586.4823076923077,1512.6803076923077,2013.0603076923076,12014.456334841632,1496.531196581192,798.9444444444454
CPS_SCRAP_HIGH_DRI_CEEW_FLEET_CONSERVATIVE,CPS / SCRAP_HIGH / DRI_CEEW / FLEET_CONSERVATIVE,CPS,SCRAP_HIGH,DRI_CEEW,FLEET_CONSERVATIVE,0,1399881.214033909,True,1.0,1.0,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.749615384615385,31.200000000000003,41.050000000000004,38.24884615384615,93.6,123.14999999999999,0.0,0.0,0.0,-0.0,-0.0,-0.0,369.73884615384617,904.8,1190.45,647.6804615384615,1584.96,2085.34,1496.5311965811961,1496.5311965811961,798.9444444444454
